Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Crime Diaries: Night Out;Crime anthology series;crime,anthology,series;2023-04-27;8 episodes;0;8;38–48 min.;38;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Jessica Jones;Neo-noir/psychological thriller;neo-noir,psychological,thriller;2023-04-27;3 seasons, 39 episodes;3;39;44–56 min.;44;56;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
The Epic Tales of Captain Underpants;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Diablero;Horror fantasy thriller;horror,fantasy,thriller;2023-04-27;1 season, 8 episodes;1;8;36–44 min.;36;44;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Bill Nye Saves the World;Science;science;2023-04-27;3 seasons, 25 episodes;3;25;26–41 min.;26;41;Ended;0;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
Spy Kids: Mission Critical;childrens-animation;childrens-animation;2023-04-27;2 seasons, 20 episodes;2;20;23–25 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Trailer Park Boys: The Animated Series;Mockumentary;mockumentary;2023-04-27;1 season, 10 episodes;1;10;24–25 min.;24;25;Pending;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
The Last Czars;Docu-series;docu-series;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Lady Dynamite;Comedy;comedy;2023-04-27;2 seasons, 20 episodes;2;20;26–36 min.;26;36;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Yankee;Drama;drama;2023-04-27;1 season, 25 episodes;1;25;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
The Disappearance of Madeleine McCann;True crime;true,crime;2023-04-27;8 episodes;0;8;43–65 min.;43;65;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Ask the StoryBots;childrens-animation;childrens-animation;2023-04-27;2 seasons, 14 episodes;2;14;20–28 min.;20;28;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
72 Dangerous Animals: Latin America;Nature;nature;2023-04-27;1 season, 12 episodes;1;12;41–46 min.;41;46;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Voltron: Legendary Defender;childrens-animation;childrens-animation;2023-04-27;8 seasons, 78 episodes;8;78;23–68 min.;23;68;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Justin Time GO!;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Car Masters: Rust to Riches;Motoring television series;motoring,television,series;2023-04-27;1 season, 8 episodes;1;8;31–40 min.;31;40;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
A Series of Unfortunate Events;Black-comedy mystery;black-comedy,mystery;2023-04-27;3 seasons, 25 episodes;3;25;36–64 min.;36;64;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
GLOW;Comedy;comedy;2023-04-27;2 seasons, 20 episodes;2;20;27–46 min.;27;46;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
VeggieTales in the City;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Ponysitters Club;Drama;drama;2023-04-27;2 seasons, 20 episodes;2;20;23 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Lunatics;Comedy;comedy;2023-04-27;1 season, 10 episodes;1;10;33–38 min.;33;38;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Malibu Rescue: The Series;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;22–26 min.;22;26;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Girls Incarcerated;Documentary;documentary;2023-04-27;2 seasons, 16 episodes;2;16;37–47 min.;37;47;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Evil Genius: The True Story of America's Most Diabolical Bank Heist;True crime;true,crime;2023-04-27;4 episodes;0;4;46–54 min.;46;54;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Get Down;Musical drama;musical,drama;2023-04-27;2 parts, 11 episodes;0;11;50–93 min.;50;93;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Mystery Science Theater 3000: The Return;Comic science fiction;comic,science-fiction;2023-04-27;2 seasons, 20 episodes;2;20;86–94 min.;86;94;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Girlboss;Comedy;comedy;2023-04-27;1 season, 13 episodes;1;13;24–29 min.;24;29;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
The Protector;Supernatural mystery;supernatural,mystery;2023-04-27;2 seasons, 18 episodes;2;18;31–51 min.;31;51;Renewed;1;ForeignLanguage;Turkish;2021-03-16;2023-04-27T17:33:17.694Z
Dead to Me;Dark comedy-drama;dark,comedy-drama;2023-04-27;1 season, 10 episodes;1;10;26–33 min.;26;33;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Ghoul;Horror miniseries;horror,miniseries;2023-04-27;3 episodes;0;3;44–50 min.;44;50;Miniseries;0;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
The Fix;Panel show;panel,show;2023-04-27;1 season, 10 episodes;1;10;23–31 min.;23;31;Pending;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
BoJack Horseman;Black comedy-drama;black,comedy-drama;2023-04-27;5 seasons, 61 episodes;5;61;25–26 min.;25;26;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Larva Island;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;8 min.;8;8;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Always a Witch;Supernatural drama;supernatural,drama;2023-04-27;1 season, 10 episodes;1;10;39–43 min.;39;43;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Nailed It! Mexico;Reality;reality;2023-04-27;1 season, 6 episodes;1;6;32–34 min.;32;34;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
A.I.C.O. -Incarnation-;Science fiction;science-fiction;2023-04-27;1 season, 12 episodes;1;12;25–29 min.;25;29;Ended;0;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Jinn;Fantasy adventure;fantasy,adventure;2023-04-27;1 season, 5 episodes;1;5;25–47 min.;25;47;Pending;1;ForeignLanguage;Arabic;2021-03-16;2023-04-27T17:33:17.694Z
Selling Sunset;Reality;reality;2023-04-27;1 season, 8 episodes;1;8;28–42 min.;28;42;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Cupcake & Dino: General Services;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;22–23 min.;22;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Dating Around;Reality;reality;2023-04-27;1 season, 6 episodes;1;6;24–30 min.;24;30;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Charlie's Colorforms City;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;25 min.;25;25;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Dirty Money;Documentary;documentary;2023-04-27;1 season, 6 episodes;1;6;50–77 min.;50;77;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Toys That Made Us;Documentary;documentary;2023-04-27;2 seasons, 8 episodes;2;8;43–51 min.;43;51;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Defenders;Superhero action/drama;superhero,action,drama;2023-04-27;8 episodes;0;8;44–57 min.;44;57;Miniseries;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
Our Planet;Nature documentary;nature,documentary;2023-04-27;8 episodes;0;8;49–54 min.;49;54;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Maniac;Dark comedy;dark,comedy;2023-04-27;10 episodes;0;10;27–47 min.;27;47;Miniseries;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
After Life;Comedy;comedy;2023-04-27;1 season, 6 episodes;1;6;25–31 min.;25;31;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Switched;Science fiction;science-fiction;2023-04-27;1 season, 6 episodes;1;6;33–44 min.;33;44;Ended;0;ForeignLanguage;Japanese;2021-03-16;2023-04-27T17:33:17.694Z
My Next Guest Needs No Introduction with David Letterman;Interview;interview;2023-04-27;2 seasons, 12 episodes;2;12;41–58 min.;41;58;Pending;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
The House of Flowers;Comedy;comedy;2023-04-27;1 season, 13 episodes;1;13;27–37 min.;27;37;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Terrorism Close Calls;Docu-series;docu-series;2023-04-27;1 season, 10 episodes;1;10;47–49 min.;47;49;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Rapture;Documentary;documentary;2023-04-27;1 season, 8 episodes;1;8;52–63 min.;52;63;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
All Hail King Julien;childrens-animation;childrens-animation;2023-04-27;5 seasons, 65 episodes;5;65;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Super Monsters Monster Pets;childrens-animation;childrens-animation;2023-04-27;1 season, 5 episodes;1;5;9–12 min.;9;12;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Seven Seconds;Crime drama;crime,drama;2023-04-27;1 season, 10 episodes;1;10;54–80 min.;54;80;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Kingdom;Fantasy;fantasy;2023-04-27;1 season, 6 episodes;1;6;44–57 min.;44;57;Renewed;1;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Fuller House;Sitcom;sitcom;2023-04-27;4 seasons, 57 episodes;4;57;24–36 min.;24;36;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Dinotrux Supercharged;childrens-animation;childrens-animation;2023-04-27;3 seasons, 26 episodes;3;26;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Captive;Documentary;documentary;2023-04-27;8 episodes;0;8;59–73 min.;59;73;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Quicksand;Crime drama;crime,drama;2023-04-27;1 season, 6 episodes;1;6;41–49 min.;41;49;Pending;1;ForeignLanguage;Swedish;2021-03-16;2023-04-27T17:33:17.694Z
Sintonia;Drama;drama;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Trollhunters: Tales of Arcadia;childrens-animation;childrens-animation;2023-04-27;3 parts, 52 episodes;0;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Fastest Car;Motoring television series;motoring,television,series;2023-04-27;1 season, 8 episodes;1;8;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Blazing Transfer Students;Action comedy;action,comedy;2023-04-27;1 season, 8 episodes;1;8;23–28 min.;23;28;Ended;0;ForeignLanguage;Japanese;2021-03-16;2023-04-27T17:33:17.694Z
Popples;childrens-animation;childrens-animation;2023-04-27;3 seasons, 26 episodes;3;26;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Drug Lords;Documentary;documentary;2023-04-27;2 seasons, 8 episodes;2;8;42–47 min.;42;47;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
You vs. Wild;Interactive Reality;interactive,reality;2023-04-27;1 season, 8 episodes;1;8;14–26 min.;14;26;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Estocolmo;Crime drama;crime,drama;2023-04-27;1 season, 13 episodes;1;13;37–49 min.;37;49;Ended;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Cricket Fever: Mumbai Indians;Sport;sport;2023-04-27;1 season, 8 episodes;1;8;33–44 min.;33;44;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Home: Adventures with Tip & Oh;childrens-animation;childrens-animation;2023-04-27;4 seasons, 52 episodes;4;52;22–24 min.;22;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Five Came Back;Historical drama;historical,drama;2023-04-27;3 episodes;0;3;59–69 min.;59;69;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
When They See Us;Drama;drama;2023-04-27;4 episodes;0;4;64–88 min.;64;88;Miniseries;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
The Society;Mystery drama;mystery,drama;2023-04-27;1 season, 10 episodes;1;10;49–61 min.;49;61;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Lego Elves: Secrets of Elvendale;childrens-animation;childrens-animation;2023-04-27;1 season, 8 episodes;1;8;24–25 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Crime Diaries: The Candidate;Crime anthology series;crime,anthology,series;2023-04-27;8 episodes;0;8;32–48 min.;32;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Stranger Things;Science fiction/horror;science-fiction,horror;2023-04-27;2 seasons, 17 episodes;2;17;42–62 min.;42;62;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Medal of Honor;Docu-series;docu-series;2023-04-27;1 season, 8 episodes;1;8;46–61 min.;46;61;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Chelsea;Late-night;late-night;2023-04-27;2 seasons, 120 episodes;2;120;27–64 min.;27;64;Ended;0;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
Grace and Frankie;Comedy-drama;comedy-drama;2023-04-27;5 seasons, 65 episodes;5;65;25–35 min.;25;35;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Dawn of the Croods;childrens-animation;childrens-animation;2023-04-27;4 seasons, 52 episodes;4;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
No Good Nick;Sitcom;sitcom;2023-04-27;1 part, 10 episodes;0;10;26–32 min.;26;32;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Chef Show;Culinary art;culinary,art;2023-04-27;1 season, 8 episodes;1;8;26–33 min.;26;33;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Buddy Thunderstruck;childrens-animation;childrens-animation;2023-04-27;1 season, 12 episodes;1;12;13–24 min.;13;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Aggretsuko;Comedy;comedy;2023-04-27;2 seasons, 20 episodes;2;20;15–20 min.;15;20;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Rilakkuma and Kaoru;Stop motion slice of life;stop,motion,slice,of,life;2023-04-27;1 season, 13 episodes;1;13;11–14 min.;11;14;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Vai Anitta;Docu-series;docu-series;2023-04-27;1 season, 6 episodes;1;6;25–35 min.;25;35;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Stay Here;Reality;reality;2023-04-27;1 season, 8 episodes;1;8;31–33 min.;31;33;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Insatiable;Dark comedy-drama;dark,comedy-drama;2023-04-27;1 season, 12 episodes;1;12;40–53 min.;40;53;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
November 13: Attack on Paris;Documentary;documentary;2023-04-27;3 episodes;0;3;47–59 min.;47;59;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Exhibit A;True crime;true,crime;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Turbo Fast;childrens-animation;childrens-animation;2023-04-27;3 seasons, 52 episodes;3;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Most Beautiful Thing;Period drama;period,drama;2023-04-27;1 season, 7 episodes;1;7;35–56 min.;35;56;Renewed;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Chef's Table;Culinary art;culinary,art;2023-04-27;6 volumes, 30 episodes;0;30;42–58 min.;42;58;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Flint Town;Documentary;documentary;2023-04-27;8 episodes;0;8;35–48 min.;35;48;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Special;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;12–17 min.;12;17;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Luke Cage;Neo-blaxploitation/neo-western;neo-blaxploitation,neo-western;2023-04-27;2 seasons, 26 episodes;2;26;46–69 min.;46;69;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
Disenchantment;Medieval fantasy comedy;medieval,fantasy,comedy;2023-04-27;1 part, 10 episodes;0;10;27–36 min.;27;36;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Bobby Kennedy for President;History;history;2023-04-27;4 chapters;0;0;59–66 min.;59;66;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Narcos;Crime drama;crime,drama;2023-04-27;3 seasons, 30 episodes;3;30;43–60 min.;43;60;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Lost Song;Musical fantasy;musical,fantasy;2023-04-27;1 season, 12 episodes;1;12;23–24 min.;23;24;Ended;0;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Ultraman;Science fiction;science-fiction;2023-04-27;1 season, 13 episodes;1;13;23–25 min.;23;25;Renewed;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
72 Dangerous Animals: Asia;Nature;nature;2023-04-27;1 season, 12 episodes;1;12;44–48 min.;44;48;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Chasing Cameron;Celebrity;celebrity;2023-04-27;1 season, 10 episodes;1;10;26–33 min.;26;33;Ended;0;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Haunted;Horror;horror;2023-04-27;1 season, 6 episodes;1;6;20–31 min.;20;31;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Examination of Conscience;True crime;true,crime;2023-04-27;1 season, 3 episodes;1;3;51–54 min.;51;54;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Dogs of Berlin;Drama;drama;2023-04-27;1 season, 10 episodes;1;10;51–62 min.;51;62;Pending;1;ForeignLanguage;German;2021-03-16;2023-04-27T17:33:17.694Z
Wet Hot American Summer: Ten Years Later;Satirical comedy;satirical,comedy;2023-04-27;8 episodes;0;8;24–31 min.;24;31;Miniseries;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Santa Clarita Diet;Comedy-horror;comedy-horror;2023-04-27;3 seasons, 30 episodes;3;30;26–35 min.;26;35;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
VeggieTales in the House;childrens-animation;childrens-animation;2023-04-27;4 seasons, 52 episodes;4;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
How to Sell Drugs Online (Fast);Dark comedy;dark,comedy;2023-04-27;1 season, 6 episodes;1;6;24–32 min.;24;32;Pending;1;ForeignLanguage;German;2021-03-16;2023-04-27T17:33:17.694Z
Kong: King of the Apes;childrens-animation;childrens-animation;2023-04-27;2 seasons, 23 episodes;2;23;22–85 min.;22;85;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Wild District;Crime drama;crime,drama;2023-04-27;1 season, 10 episodes;1;10;40–48 min.;40;48;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Afflicted;Docu-series;docu-series;2023-04-27;1 season, 7 episodes;1;7;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Dear White People;Satire/Drama;satire,drama;2023-04-27;2 volumes, 20 episodes;0;20;21–36 min.;21;36;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Another Life;Science-fiction;science-fiction;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
The Naked Director;Drama;drama;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Japanese;2021-03-16;2023-04-27T17:33:17.694Z
Altered Carbon;Science fiction;science-fiction;2023-04-27;1 season, 10 episodes;1;10;46–66 min.;46;66;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Dark;Science fiction;science-fiction;2023-04-27;2 seasons, 18 episodes;2;18;45–61 min.;45;61;Renewed;1;ForeignLanguage;German;2021-03-16;2023-04-27T17:33:17.694Z
What/If;Social thriller anthology;social,thriller,anthology;2023-04-27;1 part, 10 episodes;0;10;44–58 min.;44;58;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
