Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Stretch Armstrong and the Flex Fighters;childrens-animation;childrens-animation;2023-04-27;2 seasons, 23 episodes;2;23;23 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Wild Wild Country;Documentary;documentary;2023-04-27;6 episodes;0;6;64–72 min.;64;72;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Punisher;Crime drama/conspiracy thriller;crime,drama,conspiracy,thriller;2023-04-27;2 seasons, 26 episodes;2;26;47–58 min.;47;58;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
Motown Magic;childrens-animation;childrens-animation;2023-04-27;1 season, 25 episodes;1;25;15–26 min.;15;26;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Sacred Games;Drama;drama;2023-04-27;1 season, 8 episodes;1;8;43–55 min.;43;55;Renewed;1;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
The Innocent Man;True crime;true,crime;2023-04-27;6 episodes;0;6;42–52 min.;42;52;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
A Little Help with Carol Burnett;Variety show;variety,show;2023-04-27;1 season, 12 episodes;1;12;21–29 min.;21;29;Ended;0;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
Narcos: Mexico;Crime drama;crime,drama;2023-04-27;1 season, 10 episodes;1;10;55–70 min.;55;70;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Death by Magic;Reality;reality;2023-04-27;1 season, 8 episodes;1;8;31–39 min.;31;39;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Skylanders Academy;childrens-animation;childrens-animation;2023-04-27;3 seasons, 38 episodes;3;38;24–44 min.;24;44;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Made In Mexico;Spanish language reality series;spanish,language,reality,series;2023-04-27;1 season, 8 episodes;1;8;45–54 min.;45;54;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Follow This;Docu-series;docu-series;2023-04-27;3 parts, 20 episodes;0;20;15–20 min.;15;20;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Inside the Real Narcos;Docu-series;docu-series;2023-04-27;1 season, 3 episodes;1;3;45–46 min.;45;46;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Sword Gai: The Animation;Supernatural;supernatural;2023-04-27;2 seasons, 24 episodes;2;24;22–23 min.;22;23;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Gilmore Girls: A Year in the Life;Family drama;family,drama;2023-04-27;4 episodes;0;4;88–102 min.;88;102;Miniseries;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Cable Girls;Period drama;period,drama;2023-04-27;3 seasons, 24 episodes;3;24;41–63 min.;41;63;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Julie's Greenroom;Educational;educational;2023-04-27;1 season, 13 episodes;1;13;27–34 min.;27;34;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Magic School Bus Rides Again;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;25 min.;25;25;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Hook Up Plan;Romantic comedy;romantic,comedy;2023-04-27;1 season, 8 episodes;1;8;24–29 min.;24;29;Renewed;1;ForeignLanguage;French;2021-03-16;2023-04-27T17:33:17.694Z
Dinotrux;childrens-animation;childrens-animation;2023-04-27;5 seasons, 52 episodes;5;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Dance & Sing with True;chrildrens musical short;chrildrens,musical,short;2023-04-27;1 season, 11 episodes;1;11;2 min.;2;2;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Huge in France;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;28–34 min.;28;34;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Devilman Crybaby;Supernatural horror;supernatural,horror;2023-04-27;10 episodes;0;10;24–28 min.;24;28;Miniseries;0;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
All Hail King Julien: Exiled;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Delhi Crime;Police procedural;police,procedural;2023-04-27;1 season, 7 episodes;1;7;45–64 min.;45;64;Pending;1;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
House of Cards;Political drama;political,drama;2023-04-27;6 seasons, 73 episodes;6;73;42–59 min.;42;59;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Easy;Romantic comedy anthology;romantic,comedy,anthology;2023-04-27;3 seasons, 25 episodes;3;25;26–52 min.;26;52;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
On My Block;Coming-of-age comedy;coming-of-age,comedy;2023-04-27;2 seasons, 20 episodes;2;20;23–32 min.;23;32;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Murder Mountain;True crime;true,crime;2023-04-27;1 season, 6 episodes;1;6;43 min.;0;0;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Final Table;Culinary competition;culinary,competition;2023-04-27;1 season, 10 episodes;1;10;48–60 min.;48;60;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Flinch;Reality television/game show;reality,television,game,show;2023-04-27;1 season, 10 episodes;1;10;20–25 min.;20;25;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Kengan Ashura;Action;action;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Luna Petunia;childrens-animation;childrens-animation;2023-04-27;3 seasons, 22 episodes;3;22;23–24 min.;23;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
7 Days Out;Docu-series;docu-series;2023-04-27;1 season, 6 episodes;1;6;47–48 min.;47;48;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
All About the Washingtons;Comedy;comedy;2023-04-27;1 season, 10 episodes;1;10;22–27 min.;22;27;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Big Mouth;Coming-of-age comedy;coming-of-age,comedy;2023-04-27;2 seasons, 21 episodes;2;21;25–46 min.;25;46;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Harvey Girls Forever!;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
W/ Bob & David;Sketch comedy;sketch,comedy;2023-04-27;1 season, 5 episodes;1;5;27–33 min.;27;33;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Lego Friends: The Power of Friendship;childrens-animation;childrens-animation;2023-04-27;2 seasons, 4 episodes;2;4;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Club de Cuervos Presents: The Ballad of Hugo Sánchez;Comedy;comedy;2023-04-27;1 season, 6 episodes;1;6;29–37 min.;29;37;Ended;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Trailer Park Boys Out of the Park: USA;Mockumentary;mockumentary;2023-04-27;1 season, 8 episodes;1;8;23–35 min.;23;35;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Kulipari: Dream Walker;childrens-animation;childrens-animation;2023-04-27;1 season, 10 episodes;1;10;23 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Haters Back Off;Comedy;comedy;2023-04-27;2 seasons, 16 episodes;2;16;24–36 min.;24;36;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Sunderland 'Til I Die;Sport;sport;2023-04-27;1 season, 8 episodes;1;8;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
True: Wonderful Wishes;childrens-animation;childrens-animation;2023-04-27;1 season, 5 episodes;1;5;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Magic for Humans;Reality;reality;2023-04-27;1 season, 6 episodes;1;6;22–25 min.;22;25;Renewed;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Care Bears and Cousins;childrens-animation;childrens-animation;2023-04-27;2 seasons, 12 episodes;2;12;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Dark Tourist;Travel documentary;travel,documentary;2023-04-27;1 season, 8 episodes;1;8;39–42 min.;39;42;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Super Monsters Monster Party;chrildrens musical short;chrildrens,musical,short;2023-04-27;1 season, 4 episodes;1;4;2 min.;2;2;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Master of None;Comedy;comedy;2023-04-27;2 seasons, 20 episodes;2;20;21–57 min.;21;57;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Netflix Presents: The Characters;Sketch comedy;sketch,comedy;2023-04-27;1 season, 8 episodes;1;8;27–38 min.;27;38;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
The Umbrella Academy;Superhero action;superhero,action;2023-04-27;1 season, 10 episodes;1;10;45–60 min.;45;60;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Kulipari: An Army of Frogs;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;22–23 min.;22;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Nailed It! Holiday;Reality competition;reality,competition;2023-04-27;1 season, 7 episodes;1;7;33–35 min.;33;35;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Marseille;Political drama;political,drama;2023-04-27;2 seasons, 16 episodes;2;16;35–53 min.;35;53;Ended;0;ForeignLanguage;French;2021-03-16;2023-04-27T17:33:17.694Z
Trigger Warning with Killer Mike;Docu-series;docu-series;2023-04-27;1 season, 6 episodes;1;6;22–27 min.;22;27;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Alcàsser Murders;True crime;true,crime;2023-04-27;1 season, 5 episodes;1;5;53–66 min.;53;66;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Queer Eye;Makeover reality;makeover,reality;2023-04-27;3 seasons, 24 episodes;3;24;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
The Ranch;Sitcom;sitcom;2023-04-27;6 parts, 60 episodes;0;60;25–36 min.;25;36;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
True Tunes;chrildrens musical short;chrildrens,musical,short;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Haunting;Horror anthology;horror,anthology;2023-04-27;1 season, 10 episodes;1;10;43–71 min.;43;71;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Trolls: The Beat Goes On!;childrens-animation;childrens-animation;2023-04-27;6 seasons, 38 episodes;6;38;24–25 min.;24;25;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Ultimate Beastmaster;Competition;competition;2023-04-27;3 seasons, 29 episodes;3;29;41–84 min.;41;84;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Word Party;childrens-animation;childrens-animation;2023-04-27;3 seasons, 40 episodes;3;40;13 min.;13;13;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
The Who Was? Show;Educational;educational;2023-04-27;1 season, 13 episodes;1;13;23–27 min.;23;27;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Paradise PD;Comedy;comedy;2023-04-27;1 season, 10 episodes;1;10;27–30 min.;27;30;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Ingobernable;Political drama;political,drama;2023-04-27;2 seasons, 27 episodes;2;27;32–50 min.;32;50;Pending;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Prince of Peoria;Sitcom;sitcom;2023-04-27;2 parts, 16 episodes;0;16;24–28 min.;24;28;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Abstract: The Art of Design;Biography;biography;2023-04-27;1 season, 8 episodes;1;8;41–48 min.;41;48;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Unbreakable Kimmy Schmidt;Comedy;comedy;2023-04-27;4 seasons, 51 episodes;4;51;23–53 min.;23;53;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Russian Doll;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;25–30 min.;25;30;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Mr. Iglesias;Comedy;comedy;2023-04-27;1 season, 10 episodes;1;10;26–31 min.;26;31;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Project Mc2;Comedy;comedy;2023-04-27;6 parts, 26 episodes;0;26;22–34 min.;22;34;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Brainchild;Educational;educational;2023-04-27;1 season, 13 episodes;1;13;22–25 min.;22;25;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Family Reunion[64];Comedy;comedy;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Neo Yokio;Science fantasy comedy;science,fantasy,comedy;2023-04-27;2 seasons, 7 episodes;2;7;20–65 min.;20;65;Ended;0;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Greenhouse Academy;Science fiction/teen drama;science-fiction,teen,drama;2023-04-27;2 seasons, 24 episodes;2;24;21–28 min.;21;28;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
F Is for Family;Sitcom;sitcom;2023-04-27;3 seasons, 26 episodes;3;26;25–28 min.;25;28;Renewed;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Gypsy;Psychological thriller;psychological,thriller;2023-04-27;1 season, 10 episodes;1;10;46–58 min.;46;58;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Ozark;Crime drama;crime,drama;2023-04-27;2 seasons, 20 episodes;2;20;52–80 min.;52;80;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
American Vandal;Mockumentary;mockumentary;2023-04-27;2 seasons, 16 episodes;2;16;26–42 min.;26;42;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Beyond Stranger Things;Aftershow;aftershow;2023-04-27;1 season, 7 episodes;1;7;15–25 min.;15;25;Pending;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
The OA;Mystery;mystery;2023-04-27;2 parts, 16 episodes;0;16;31–71 min.;31;71;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
True: Magical Friends;childrens-animation;childrens-animation;2023-04-27;1 season, 5 episodes;1;5;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Osmosis;Science fiction/drama;science-fiction,drama;2023-04-27;1 season, 8 episodes;1;8;41–45 min.;41;45;Pending;1;ForeignLanguage;French;2021-03-16;2023-04-27T17:33:17.694Z
Bloodline;Thriller;thriller;2023-04-27;3 seasons, 33 episodes;3;33;48–68 min.;48;68;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Chilling Adventures of Sabrina;Supernatural coming-of-age horror;supernatural,coming-of-age,horror;2023-04-27;2 parts, 20 episodes;0;20;50–64 min.;50;64;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
One Day at a Time;Sitcom;sitcom;2023-04-27;3 seasons, 39 episodes;3;39;25–35 min.;25;35;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Last Chance U;Sport;sport;2023-04-27;3 parts, 23 episodes;0;23;50–76 min.;50;76;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Daughters of Destiny;Documentary;documentary;2023-04-27;4 episodes;0;4;56–65 min.;56;65;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Dark Crystal: Age of Resistance;Fantasy;fantasy;2023-04-27;1 season, 10 episodes;1;10;TBA;0;0;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
First Team: Juventus;Sport;sport;2023-04-27;2 parts, 6 episodes;0;6;37–42 min.;37;42;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Tidelands;Supernatural crime drama;supernatural,crime,drama;2023-04-27;1 season, 8 episodes;1;8;36–48 min.;36;48;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Busted!;Korean language variety show;korean,language,variety,show;2023-04-27;1 season, 10 episodes;1;10;75–98 min.;75;98;Renewed;1;VarietyTalk;Korean;2021-03-16;2023-04-27T17:33:17.694Z
1983;Spy thriller;spy,thriller;2023-04-27;1 season, 8 episodes;1;8;50–63 min.;50;63;Renewed;1;ForeignLanguage;Polish;2021-03-16;2023-04-27T17:33:17.694Z
The Chosen One;Thriller drama;thriller,drama;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Love;Romantic comedy;romantic,comedy;2023-04-27;3 seasons, 34 episodes;3;34;24–40 min.;24;40;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
The Mr. Peabody & Sherman Show;childrens-animation;childrens-animation;2023-04-27;4 seasons, 52 episodes;4;52;23 min.;23;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Somebody Feed Phil;Travel documentary;travel,documentary;2023-04-27;2 seasons, 12 episodes;2;12;55–63 min.;55;63;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Atypical;Coming-of-age comedy;coming-of-age,comedy;2023-04-27;2 seasons, 18 episodes;2;18;26–38 min.;26;38;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
True and the Rainbow Kingdom;childrens-animation;childrens-animation;2023-04-27;2 seasons, 14 episodes;2;14;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Edha;Drama;drama;2023-04-27;1 season, 10 episodes;1;10;38–43 min.;38;43;Ended;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Wormwood;Psychological drama;psychological,drama;2023-04-27;6 chapters;0;0;41–48 min.;41;48;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Fire Chasers;Miniseries;miniseries;2023-04-27;4 episodes;0;4;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Dancing Queen;Celebrity;celebrity;2023-04-27;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Super Drags;Superhero-LGBT comedy;superhero-lgbt,comedy;2023-04-27;1 season, 5 episodes;1;5;23–26 min.;23;26;Ended;0;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
Love Alarm;Romantic comedy;romantic,comedy;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Chelsea Does;Comedy;comedy;2023-04-27;1 season, 4 episodes;1;4;62–74 min.;62;74;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Hot Girls Wanted: Turned On;Documentary;documentary;2023-04-27;6 episodes;0;6;41–58 min.;41;58;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Sense8;Science fiction;science-fiction;2023-04-27;2 seasons, 24 episodes;2;24;45–152 min.;45;152;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Tuca & Bertie;Comedy;comedy;2023-04-27;1 season, 10 episodes;1;10;25–26 min.;25;26;Pending;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
We're Lalaloopsy;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
She's Gotta Have It;Comedy-drama;comedy-drama;2023-04-27;2 seasons, 19 episodes;2;19;32–38 min.;32;38;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
World of Winx;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Spirit Riding Free;childrens-animation;childrens-animation;2023-04-27;8 seasons, 52 episodes;8;52;23 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Marching Orders;Docu-series;docu-series;2023-04-27;1 season, 12 episodes;1;12;9–14 min.;9;14;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Disjointed;Comedy;comedy;2023-04-27;2 parts, 20 episodes;0;20;23–32 min.;23;32;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Lego Bionicle: The Journey to One;childrens-animation;childrens-animation;2023-04-27;2 seasons, 5 episodes;2;5;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
YG Future Strategy Office;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;20–29 min.;20;29;Pending;1;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Cooking on High;Cooking show;cooking,show;2023-04-27;1 season, 12 episodes;1;12;13–15 min.;13;15;Ended;0;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
